paper_index,authors,title
NE35016,a. halverson,rox: relational over xml
8.11E+83,anamaria popescu + oren etzioni + alex armanasu + alexander yates + david ko,Modern natural language interfaces to databases: composing statistical parsing with semantic tractability
77C2528A,david m nicol,Rectilinear partitioning of irregular data parallel computations
NE34856,"g. aggarwal, n. mishra, and b. pinkas",privacypreserving computation of the k'th-ranked element
NE34852,weblink,n/a
NE35325,"y. shu, k.-l. tan, and a. zhou",adapting the content native space for load balanced
NE34850,s. hou and h.-a. jacobsen,predicate-based filtering of xpath expressions
7E6385DF,gang luo + philip s yu + jeffrey f naughton,Multi-query SQL progress indicators
80456115,donald kossmann + bernhard zeller + alfons kemper + andreas gartner,Efficient bulk deletes in relational databases
08530FC6,mingchien shan + mehmet sayal + umeshwar dayal + fabio casati,Business process cockpit
NE36722,"s. paparizos, and h. jagadish",pattern tree algebras: sets or sequences? vldb
803D19FC,david j kupfer + susan r berman + charles f reynolds + daniel j buysse + timothy h monk,The Pittsburgh sleep quality index: A new instrument for psychiatric practice and research
80A415C1,goetz graefe,Query evaluation techniques for large databases
7E692CCC,christos tryfonopoulos + manolis koubarakis + stratos idreos,Publish/subscribe functionality in IR environments using structured overlay networks
7F50316C,scott t leutenegger + jeffrey edgington + m a lopez,STR: a simple and efficient algorithm for R-tree packing
NE36728,"m. brantner, n. may, and g. moerkotte",unnesting sql queries in the presence of disjunction
01EF8E0E,jay earley,An Efficient Context-Free Parsing Algorithm (Reprint)
1181BA0A,sebastian schaffert + francois bry,XML and Databases
5B85685B,jeffrey xu yu + qiu yue wang + kamfai wong,Approximate Graph Schema Extraction for Semi-Structured Data
6F85171B,divesh srivastava + dongwon lee,Counting Relaxed Twig Matches in a Tree
7995AC8A,mikkel thorup,Even strongly universal hashing is pretty fast
5B487EC8,edward r tufte,"Visual explanations: Images and quantities, evidence and narrative"
5CA52EB1,sven helmer + norman may + guido moerkotte,Three Cases for Query Decorrelation in XQuery
0A422AB1,salvatore orlando + fabrizio silvestri + claudio lucchese + raffaele perego,WebDocs: a real-life huge transactional dataset
0F4B2F86,john p stenbit,Department of Defense Net-Centric Data Strategy
NE35906,n/a,buddy
808D74B0,william tay + bing liu + ke wang + soon hock william tay + soon hock,Interestingness-Based Interval Merger for Numeric Association Rules
7A5207D0,matteo frigo + harald prokop + charles e leiserson + s ramachandran,Cache-Oblivious Algorithms
6B4D1D00,erhard rahm + philip a bernstein,Data warehouse scenarios for model management
5B6E2AEF,john m trenkle + william b cavnar,N-Gram-Based Text Categorization
77675B67,rajeev motwani + min fang + narayanan shivakumar + hector garciamolina + jeffrey d ullman,Computing Iceberg Queries Efficiently
7F2BD4FF,rakesh agrawal + mayank bawa + jaideep vaidya + roberto j bayardo,Privacy-preserving indexing of documents on the network
755B36B7,gosta grahne + raul hakli + hellis tamm + matti nykanen + esko ukkonen,Design and implementation of a string database query language
01900A7D,henrik nottelmann + alexej titarenko + andre nurzenski + gudrun fischer,An integrated approach for searching and browsing in heterogeneous peer-to-peer networks
5B5C835F,steven furnell + udo bleimann + woldemar fuhrmann + klaus fischer,Security-Relevant Semantic Patterns of BPEL in Cross-Organisational Business Processes
NE35077,"d. papadias, y. tao, g. fu, and b. seeger",an optimal and progressive algorithm for skyline queries
NE35076,j. macker and m. corson,"mobile ad hoc networking, chapter mobile ad hoc networks (manets): routing technology for dynamic"
NE35071,"s. basagni, m. conti, s. giordano, and i. stojmenovic, editors",mobile ad hoc networking
NE35070,fusing ad hoc and p2p,pictures of the future (siemens magazine for research and innovation
8039CD8B,a i mcleod,DIAGNOSTIC CHECKING OF PERIODIC AUTOREGRESSION MODELS WITH APPLICATION
807E88D2,ramesh jain + david a white,Similarity indexing with the SS-tree
NE34474,d. knuth,"the art of computer programming, volume 3"
7E3B26BC,philip resnik,Using information content to evaluate semantic similarity in a taxonomy
7D2CAF6D,philip s yu + jiawei han + xifeng yan,Graph indexing based on discriminative frequent structure analysis
816220DD,michael j franklin + sirish chandrasekaran,PSoup: a system for streaming queries over streaming data
7BF75509,surajit chaudhuri + kyuseok shim,Optimization of queries with user-defined predicates
090E63FC,graham cormode + s muthukrishnan,Summarizing and Mining Skewed Data Streams
7CD4CA07,ronald fagin,Fuzzy queries in multimedia database systems
5ACF923C,tok wang ling + mongli lee,A Theory for Entity-Relationship View Updates
7D7DC5E1,iosif lazaridis + sharad mehrotra,Approximate selection queries over imprecise data
5DA7DA86,michael bohlen + ole guttorm jensen + michael o akinde,Minimizing Detail Data in Data Warehouses
7F0ACA91,venkat raman + guy m lohman + volker markl,LEO: An autonomic query optimizer for DB2
5EEDD7A6,frankie james,Presenting HTML Structure in Audio: User Satisfaction with Audio Hypertext
NE34296,growth of genbank,national center for biotechnology information (ncbi
NE34290,f. reiss and j. m. hellerstein,declarative network monitoring with an underprovisioned query processor (extended version
NE34291,r. riedi and w. willinger,self-similar network traffic and performance evaluation wiley
58CDCF84,benny pinkas,Fair Secure Two-Party Computation
NE34298,j. hammer and m. schneider,genomics algebra: a new
7DB39D3C,george karypis + jianyong wang,HARMONY: Efficiently Mining the Best Rules for Classification
59085B27,denny vrandecic + johanna volker + york sure,Automatic evaluation of ontologies (AEON)
0373B7A4,arnold w m smeulders + th gevers,Content-based image retrieval: an overview
63117134,boris chidlovskii,Schema Extraction from XML Data: A Grammatical Inference Approach
75EE664A,padhraic smyth + scott r white,Algorithms for estimating relative importance in networks
79B76FFA,adrian m teisanu + mariano p consens + laurent mignet + denilson barbosa,Goals and benchmarks for autonomic configuration recommenders
08096F45,joobin choobineh,Formflex: a user interface tool for forms definition and management
7E91C55E,j stribling + sean rhea + john kubiatowicz + anthony d joseph + ling huang + ben y zhao,Tapestry: a resilient global-scale overlay for service deployment
78D10F73,brian babcock + surajit chaudhuri,Towards a robust query optimizer: a principled and practical approach
7E85DACE,sanjay agrawal + rajiv rastogi + sujay deb + k v m naidu,Efficient Detection of Distributed Constraint Violations
79FCDDAC,chenming hung + leefeng chien + chinghsiang tsai + pujeng cheng,Query taxonomy generation for web search
NE26421,"b.-k. yi, h. v. jagadish and c. faloutsos",efficient retrieval of similar time sequences under time warping
5B7DF61D,boanerges alemanmeza + i budak arpinar + m r moore + samir tartir + amit p sheth,OntoQA: Metric-based ontology quality analysis
NE36296,s. j,finkelstein: common subexpression analysis in database applications
NE36292,weblink,msdn2 library
NE36293,dbazine,interested transaction list (itl) waits demystified
7E3C8DA7,mark crovella + liying tang,Virtual landmarks for the internet
NE36291,"k.p. brown, m. mehta, m.j. carey, m",livny: towards automated performance tuning for complex workloads
0B29C7CA,o l mangasarian + william h wolberg,Cancer diagnosis via linear programming
0C02C4A9,michael e houle,A Generic Query-Based Model for Scalable Clustering
NE36299,"m. jarke, j",koch: query optimization in database systems
NE34284,"r. m, query processing, resource management, and approximation in a data stream management system",in cidr
7E1BF2E5,xuan liu + marco o gruteser,"Protecting privacy, in continuous location-tracking applications"
78825C32,retzel + cartis + bieganski + riedl,Generalized suffix trees for biological sequence data: applications and implementation
5FD91409,antonietta lanza + michelangelo ceci + donato malerba + annalisa appice + francesca a lisi,Generating Logic Descriptions for the Automated Interpretation of Topographic Maps
7848159F,john nash,The Bargaining Problem
809D6B7E,joachim hammer + markus schneider,"Genomics Algebra: A New, Integrating Data Model, Language, and Tool for Processing and Querying Genomic Information"
0BF350D0,dominik lubbers,SoniXplorer: Combining Visualization and Auralization for Content-Based Exploration of Music Collections
7F613FA1,thomas r gruber,A translation approach to portable ontology specifications
7E5197C4,bruce m maggs + ramesh k sitaraman + bill weihl + jay parikh + harald prokop + j dilley,Globally distributed content delivery
58CED322,sergey brin,Extracting Patterns and Relations from the World Wide Web
585AF6A9,sam chamberlain + ouri wolfson + a prasad sistla + son dao,Querying the uncertain position of moving objects
0A26F510,thure etzold + gabriel verde,Using views for retrieving data from extremely heterogeneous databanks
78B3D473,g nigel martin + philippe flajolet,Probabilistic counting algorithms for data base applications
76CA33FC,mario schkolnick + jon louis bentley + c d thompson + h t kung,On the Average Number of Maxima in a Set of Vectors and Applications
0AC34A0C,valeria de antonellis + devis bianchini,Ontology-based Semantic Interoperability Tools for Service Dynamic Discovery
5EE96C68,doron rotem + frank olken,Simple Random Sampling from Relational Databases
5B936370,nebojsa stefanovic + jiawei han + krzysztof koperski,Selective Materialization: An Efficient Method for Spatial Data Cube Construction
74A0C997,jerome wojcik + david martin + bernard jacq + francois chevenet + christine brun + alain guenoche,Functional classification of proteins for the prediction of cellular function from a protein-protein interaction network
80F97D8A,jeffrey f naughton + ahmed m ayad,Static optimization of conjunctive queries with sliding windows over infinite streams
80446F84,walid g aref + ahmed k elmagarmid + moustafa a hammad + michael j franklin,Scheduling for shared window joins over data streams
763A2CB1,floris geerts + wenfei fan + michael benedikt,XPath satisfiability in the presence of DTDs
7ECA5841,kjetil norvag + christos doulkeridis + michalis vazirgiannis,DESENT: decentralized and distributed semantic overlay generation in P2P networks
7C3EAA93,a k singh + divyakant agrawal + k v ravi kanth,Dimensionality reduction for similarity searching in dynamic databases
7D0CDD0F,wei hong + carlos guestrin + samuel madden + amol deshpande + joseph m hellerstein,Model-driven data acquisition in sensor networks
7A76FE74,massimo mecella + daniela berardi + giuseppe de giacomo + diego calvanese + maurizio lenzerini,Automatic Composition of E-services That Export Their Behavior
7DA195C1,stefanie scherzinger + christoph koch + bernhard stegmaier + nicole schweikardt,Schema-based scheduling of event processors and buffer minimization for queries on structured data streams
6106093,mohamed hatem haddad,Extraction et impact des connaissances sur les performances des systèmes de recherche d'information
7A77646B,hamid pirahesh + c mohan + raymond lorie,Efficient and flexible methods for transient versioning of records to avoid locking by read-only transactions
7D8320AD,eliezer levy + avi silberschatz,Incremental recovery in main memory database systems
7FBA335A,sunil prabhakar + yuni xia + jeffrey scott vitter + rahul shah + reynold cheng,Efficient indexing methods for probabilistic threshold queries over uncertain data
805FA604,nick lanham + boon thau loo + ryan huebsch + ion stoica + joseph m hellerstein + scott shenker,Querying the internet with PIER
76BBC28A,elisa bertino + silvana castano + elena ferrari,On specifying security policies for web documents with an XML-based language
77245C93,stephen c johnson,Hierarchical clustering schemes
7A9C3871,nick koudas + sudipto guha + kyuseok shim,Approximation and streaming algorithms for histogram construction problems
02491F70,prasad m deshpande + jeffrey f naughton + amit shukla,Materialized View Selection for Multidimensional Datasets
0150A262,cristiana amza + romer gil + willy zwaenepoel + julie marguerite + anupam ch + sameh elnikety + alan l cox + emmanuel cecchet + karthick rajamani,Bottleneck Characterization of Dynamic Web Site Benchmarks
79AFCA3D,hamid pirahesh + vijayshankar raman + miso cilimdzic + guy m lohman + david e simmen + volker markl,Robust query processing through progressive optimization
037B2173,george wolberg,Ieee computer society press
7258F4EB,pei cao + sandy irani,Cost-aware WWW proxy caching algorithms
NE35712,g. m. n. park,map: caribou population distribution in gros morne national park greater ecosystem
NE35245,b. bloor,audit the data - or else
5BA7D72B,amr el abbadi + hailing yu + divyakant agrawal,Tabular placement of relational data on MEMS-based storage devices
NE35711,u. d. of transportation,intelligent transportation system joint program office home
NE35716,"j. caverlee, s. webb, and l. liu",countering web spam attacks using link-based analysis
NE35241,f. b. of investigation,the science of fingerprints: classification and uses
NE35242,weblink,n/a
NE35715,"j. caverlee, l. liu, and w. b. rouse",source-based link analysis of the web: a parameterized approach
7AA63534,sudipto guha + kyuseok shim + rajeev rastogi,ROCK: a robust clustering algorithm for categorical attributes
5FA9E040,marco botta + rosa meo + roberto esposito,Query Rewriting in Itemset Mining
7F2FDFA8,beverly yang + hector garciamolina + prasanna ganesan,One torus to rule them all: multi-dimensional queries in P2P systems
7E0C4925,rakesh agrawal + h v jagadish,Algorithms for searching massive graphs
7770870D,mario a nascimento + jefferson r o silva,Towards historical R-trees
778BC9A2,haiyann hwang + umeshwar dayal,View Definition and Generalization for Database Integration in a Multidatabase System
7FDE7452,yannis papakonstantinou + jennifer widom + hector garciamolina + jeffrey d ullman + kelly ireland + joachim hammer,Integrating and Accessing Heterogeneous Information Sources in TSIMMIS
7A5F3D98,alberto o mendelzon + davood rafiei,Similarity-based queries for time series data
80954C5A,ram keralapura + jeyashankher ramamirtham + graham cormode,Communication-efficient distributed monitoring of thresholded counts
8081E726,alberto o mendelzon + mariano p consens,Low-complexity aggregation in GraphLog and Datalog
65C16363,reetinder p s sidhu + viktor k prasanna,Fast Regular Expression Matching Using FPGAs
599506FC,ashish gupta + dan suciu + todd j green + demian raven + iliana avilacampillo + makoto onizuka,XMLTK: An XML Toolkit for Scalable XML Stream Processing
816596C3,hari balakrishnan + vladimir bychkovsky + michel goraczko + allen miu + eugene shih + bret hull + yang zhang + samuel madden + kevin chen,CarTel: a distributed mobile sensor computing system
723CA48A,hamid pirahesh + jayavel shanmugasundaram + bruce lindsay + eugene j shekita + michael j carey + berthold reinwald + rimon barr,Efficiently Publishing Relational Data as XML Documents
7E0B0187,michael mitzenmacher + balaji prabhakar + devavrat shah,Load balancing with memory
7DF2B059,gultekin ozsoyoglu + richard t snodgrass,Temporal and real-time databases: a survey
5BC529F7,wolfgang hoschek + dirk dullmann + erich schikuta + kurt stockinger,Improving the Performance of High-Energy Physics Analysis through Bitmap Indices
78B937B5,stefan behnel + ludger fiege + wesley w terpstra + andreas zeidler + alejandro buchmann,A peer-to-peer approach to content-based publish/subscribe
5FB47A61,wolf siberski + wolfgang nejdl + uwe thaden + wolftilo balke,DL Meets P2P – Distributed Document Retrieval Based on Classification and Content
7CF6C7AA,dimitris papadias + greg fu + bernhard seeger + yufei tao,An optimal and progressive algorithm for skyline queries
80B7E82F,kerry rodden + ken wood,How do people manage their digital photographs?
NE34041,"p. haas p. brown i.f illyas, v. markl and a. aboulnaga",cords: automatic discovery of correlations and soft funcional dependencies
NE34591,"y. manolopoulos, a. nanopoulos, a. n. papadopoulos, and y. theodoridis",r-trees have grown everywhere
NE34042,t. lee,an lynformation-theoretic analysis of relational databases-part i: data dependencies and information metric
NE34047,weblink,n/a
0A7C014E,jose galindo + juan miguel medina + rodrigo a carrasco + maria amparo vila miranda,Clustering and Fuzzy Classification in a Financial Data Mining Environment
7E168397,yvan bedard + pierre marchand + jean brodeur + berthou pascal + maryvonne miquel + jacynthe pouliot + alexandre brisebois,MODELING MULTIDIMENSIONAL SPATIO-TEMPORAL DATA WAREHOUSES IN A CONTEXT OF EVOLVING SPECIFICATIONS
7FC35C6B,peter m g apers + willem jonker + ling feng,Towards Context-Aware Data Management for Ambient Intelligence
7D978831,christos gkantsidis + amin saberi + milena mihail,Random walks in peer-to-peer networks
5B080FBB,agnes voisard + jochen schiller,Location Based Services
NE36579,weblink,massive data analysis lab
759503D8,rosie jones + r a sugden + t m f smith,Cochran's rule for simple random sampling
5D9F2092,mehran sahami + shumeet baluja + vibhu o mittal + henry a rowley,The Happy Searcher: Challenges in Web Information Retrieval
NE36571,"c. y. chan, p.-k. eng, and k.-l. tan",stratified computation of skylines with partially-ordered domains
NE36577,"c. li, b. c. ooi, a. k. tung, and s. wang",data: a data cube for dominant relationship analysis
NE36575,"z. huang, c. s. jensen, h. li, and b. c. ooi",skyline queries against mobile lightweight devices
NE36574,"y.-w. huang, n. jing, and e. a. rundensteiner",spatial joins using r-trees: breadth-first traversal with global optimizations
NE34626,b. p. buckles and f. e. petty,a fuzzy representation of data for relational databases
NE34621,"r. typke, r. veltkamp, and e wiering",searching notated polyphonic music using transportation distances
NE34620,"b. s. manjunath, p. salembier, and t. sikora, editors",introduction to mpeg 7: multimedia content description language wiley
49DF5E0E,matjaz b juric + poornachandra sarang + binu k mathew,Business Process Execution Language for Web Services
7F7C83F8,faisal i bashir + fatih porikli,Performance evaluation of object detection and tracking systems
NE35891,f. bry and m. eckert. twelve theses on reactive rules for the web. in workshop,reactivity on the web
775F5D9B,k selcuk candan + gisik kwon,"DANS: decentralized, autonomous, and networkwide service delivery and multimedia workflow processing"
NE35892,"f. bry, m. eckert, and p.-l. patranjan",reactivity on the web: paradigms and applications of the language xchange
7E913266,paul r wilson,Uniprocessor garbage collection techniques
5F3E14C1,steven homer + alan l selman,Computability and complexity theory
75E5C15F,john boreczky + lawrence a rowe,Comparison of video shot boundary detection techniques
NE34329,m. weis,fuzzy duplicate detection on xml
76C500F4,wei wang + haifeng jiang + hongjun lu,Efficient processing of XML twig queries with OR-predicates
7B7A6B98,yali zhu + elke a rundensteiner + george t heineman,Dynamic plan migration for continuous queries over data streams
018CE8B8,marco iansiti + h t kung + feng zhu,"A Stateless Network Architecture for Inter-Enterprise Authentication, Authorization and Accounting"
81AFB48C,david r ohallaron + tiankai tu + julio lopez,ETREE - A Database-Oriented Method for Generating Large Octree Meshes
7EF8ED8D,chandan mathur + alex delis + kulesh shanmugasundaram + jowen wu + jiangong zhang + xiaohui long + torsten suel + mehdi kharrazi,ODISSEA: A Peer-to-Peer Architecture for Scalable Web Search and Information Retrieval
5FA737F3,rachel pottinger + alon y levy,A Scalable Algorithm for Answering Queries Using Views
NE34326,b. randall,corpussearch
805A468F,magdalena balazinska + michael stonebraker + stan zdonik + ugur cetintemel + alexander rasin + jeonghyon hwang,High-availability algorithms for distributed stream processing
NE34327,d. rohde,tgrep2 manual
7CB0DB85,vanja josifovski + marcus fontoura + ziv baryossef,On the memory requirements of XPath evaluation over XML streams
7FADECE9,sagit zohar + tova milo,Using Schema Matching to Simplify Heterogeneous Data Translation
58850AB6,nick koudas + divesh srivastava,Data stream query processing: a tutorial
75651137,william h wolberg + o l mangasarian,Multisurface method of pattern separation for medical diagnosis applied to breast cytology.
041760A6,karun bakshi + david f huynh + david r karger + vineet sinha + dennis quan,Haystack: A General-Purpose Information Management Tool for End Users Based on Semistructured Data
7EB48353,frank wm tompa + jose a blakeley + perake larson,Efficiently updating materialized views
80AB95DF,muhammad s hussain + f mohdyasin + m b raez,"Techniques of EMG signal analysis: detection, processing, classification and applications."
854524B7,michael garland + paul s heckbert,Surface simplification using quadric error metrics
7D91609D,tore risch + milena ivanova,Customizable parallel execution of scientific stream queries
NE32506,weblink,sax: simple api for xml
5BA266DE,yuqing wu + jignesh m patel + h v jagadish,Estimating Answer Sizes for XML Queries
854807,stefano lodi + gianluca moro + matthias klusch,Distributed clustering based on sampling local density estimates
815FAD14,zhenghong zhao + nidal zeidat + christoph f eick,Supervised clustering - algorithms and benefits
8130AA87,graham cormode + s muthukrishnan,What's new: finding significant differences in network data streams
NE35878,m. de berg,in computational geometry
NE35876,weblink,rfid journal
NE35871,"h. su, e. a. rundensteiner, and m. mani",semantic query optimization for xquery over xml streams
81592338,paramvir bahl + venkata n padmanabhan,RADAR: an in-building RF-based user location and tracking system
80CD9BD4,tim menzies + jeremy greenwald + a d frank,Data Mining Static Code Attributes to Learn Defect Predictors
7D0CC8AB,rachel pottinger + alon halevy,MiniCon: A scalable algorithm for answering queries using views
8146DFD5,amr el abbadi + divyakant agrawal + abhishek gupta + ozgur d sahin,Meghdoot: content-based publish/subscribe over P2P networks
04D32102,gerhard weikum + gottfried vossen,Transactional information systems---theory
7E9F377C,gabi kastenmuller + hanspeter kriegel + thomas seidl + mihael ankerst,Nearest Neighbor Classification in 3D Protein Databases
NE31971,"s. melnik, h. garcia-molina, and e. rahm",similarity flooding: a versatile graph matching algorithm
7.69E+71,ginestra bianconi + matteo marsili,Loops of any size and Hamilton cycles in random scale-free networks
5954C0EB,jiawei han + benjamin w wah + xiaolei li + dong xin,Star-cubing: computing iceberg cubes by top-down and bottom-up integration
7E6FC9D7,william j kaiser + gregory j pottie,Wireless integrated network sensors
0AE5CA6E,daniel jurafsky + james harry nicholas martin,Speech and Language Processing
7913D388,patrick bosc,On the primitivity of the division of fuzzy relations
7E3E75B4,ronald fagin + edward l wimmers,A formula for incorporating weights into scoring rules
5DA0130D,ian goldberg,"Privacy-enhancing technologies for the internet, II: five years later"
5D038677,kevin murphy + yair weiss + michael i jordan,Loopy belief propagation for approximate inference: an empirical study
0866D404,abhinav kamra + vishal misra + erich m nahum,Yaksha: a controller for managing the performance of 3-tiered websites
792B5B3B,francis y l chin + qizhi fang + shanfeng zhu + xiaotie deng,Approximate and dynamic rank aggregation
5C07A713,yuval elovici + erez shmueli + ronen waisenberg + ehud gudes,A Structure Preserving Database Encryption Scheme
6593DADD,ke deng + xiaofang zhou,Expansion-Based algorithms for finding single pair shortest path on surface
5D3C2879,lisa mcclain + kevin loney,Oracle Database 10g The Complete Reference
NE36370,a. papoulis,probability & statistics
NE36372,"k. rose, e. gurewitz, and g. c. foz",constrained clustering as an optimization method
NE36377,"m. zhao, alan m. n. fu, and h. yan",a technique of three-level thresholding based on probability partition and fuzzy 3-partition
NE36379,s. amer-yahia and,"flexpath: flexible structure and full-text querying, for xml"
7F1747C0,alexander maedche + steffen staab,Ontology learning for the Semantic Web
NE36060,"j. galindo, a. urrutia, and m. piattini",fuzzy databases: modeling
5A513336,awais rashid,On to Aspect Persistence
5A241E7C,chaokun wang + shengfei shi + jianzhong li,A music data model and its application
7D58DAC6,haibo hu + dik lun lee,Range nearest-neighbor query
814077A1,david j dewitt + jim gray,Parallel Database Systems: The Future of High Performance Database Processing
788629A5,liisa holm + chris sander,Protein Structure Comparison by Alignment of Distance Matrices
754C87CA,anna r karlin + thomas anderson + david wetherall + stefan savage,Practical network support for IP traceback
5E94C0AE,bin he + tao tao + kevin chenchuan chang,"Clustering Structured Web Sources: A Schema-Based, Model-Differentiation Approach"
78DD0B5D,ronald fagin + d sivakumar + ravi kumar,Comparing top k lists
7FC0285F,richard d sisson + aparna s varde + mohammed maniruzzaman + elke a rundensteiner + carolina ruiz,LearnMet: learning domain-specific distance metrics for plots of scientific functions
NE33820,e. zegura,how to model an internetwork
NE34838,"dong. x, halevy, a, madhavan, j",2005)  reference reconciliation in complex information spaces
NE34839,"sarawagi, s","2000)  special issue on data cleaning  bulletin of the tech  committee on data eng,  ol"
NE34830,"hristidis, v. papakonstantinou, y",2002)  discover: keyword search in relational databases
NE34831,"hristidis. v, gravano, l, papakonstantinou, y",2003)  efficient ir-style keyword search over relational databases
NE34832,"collins. a, quillian, m",1969)  retrieval time from semantic memory
NE34833,"koutrika. g, ioannidis, y",2005)  personalized queries under a generalized preference model
NE34834,"guo. l, shao, f, botev, c, shanmugasundaram, j",2003)  xrank: ranked keyword search over xml documents
NE34835,"hristidis. v, papakonstantinou, y, balmin, a",2003)  keyword proximity search on xml graphs
NE34836,weblink,oracle 9i text
NE34837,ms sql server,url: msdn.microsoft.com/library
NE36832,"h. -j. lenz, and a. shoshani",summari zabili ty
7FC5FF18,walid g aref + ihab f ilyas + ahmed k elmagarmid,Supporting top- k join queries in relational databases
NE36740,"h. j. steenhagen, p. m. g. apers, h. m. blanken, and r. a. de by",from nested-loop to join queries
80A6FDDC,paul tompkins + william whittaker + anthony stentz,Mission planning for the Sun-Synchronous Navigation Field Experiment
7EAF0458,wangchiew tan + sanjeev khanna + peter buneman,On propagation of deletions and annotations through views
6778C136,j veizades + martin v day + erik guttman + charles e perkins,"Service Location Protocol, Version 2"
813A9E0E,r p logan + kentaro toyama + asta roseway,Geographic location tags on digital images
7FA8653E,hari balakrishnan + magdalena balazinska + michael stonebraker + samuel madden,Fault-tolerance in the Borealis distributed stream processing system
5B321B2C,dorian pyle,Data preparation for data mining
813733F0,yaqin zhang + y t hou + dapeng wu,Scalable video coding and transport over broadband wireless networks
0685F731,jeffrey frey + carl kesselman + david snelling + t maquire + p vanderbilt + stephen m graham + ian foster + t standholm + steven tuecke + karl czajkowski,Open grid services infrastructure (ogsi) version 1. 0
03EB804E,donald kossmann + daniela florescu,Storing and Querying XML Data using an RDBMS
5F671C0F,mohammad r kolahdouzan + mehdi sharifzadeh + cyrus shahabi,A Road Network Embedding Technique for K-Nearest Neighbor Search in Moving Object Databases
8168CD1A,gang qian,Principles and applications for supporting similarity queries in non-ordered-discrete and continuous data spaces
5BBB0A25,samrat bhattacharjee + kenneth l calvert + ellen zegura,On Active Networking and Congestion
7DB03453,amihai motro,VAGUE: a user interface to relational databases that permits vague queries
7D9AF79E,elena ferrari + elisa bertino,Secure and selective dissemination of XML documents
NE34144,g. ramakrishnan,word associations in text mining
7FBF3AD1,cristina videira lopes + lodewijk bergmans,Aspect-Oriented Programming
NE35572,steven p. reiss. constraining software evolution,proceedings of the international conference on software maintenance (icsm'02
75234255,beng chin ooi + yanfeng shu + kianlee tan,Relational data sharing in peer-based data management systems
7BC3461D,ralf hartmut guting + victor teixeira de almeida,Supporting uncertainty in moving objects in network databases
80324B76,utkarsh srivastava + volker markl + marcel kutsch + t m tran + peter j haas,ISOMER: Consistent Histogram Construction Using Query Feedback
63715DDE,stanley b zdonik + mark palmer,Fido: A Cache That Learns To Fetch
5CBFD910,renee j miller + laura m haas + mauricio hernandez,Schema Mapping as Query Discovery
NE35054,weblink,n/a
NE35056,melissa k. carroll and s.-h. cha,application of stacked generalization to a protein localization prediction task
NE35059,"a. dobra, m. n. garofalakis, j. gehrke, and r. rastogi",processing complex aggregate queries over data streams
NE35506,p. chan and s. stolfo,experiments on multistrategy learning by meta-leaming
NE35504,k. schnaitter,colt: continuous on-line tuning
NE35501,n. bruno and s. chaudhuri. physical design refinement: the,merge-reduce
5E2DB6C1,michael j carey + miron livny + kurt p brown,Managing Memory to Meet Multiclass Workload Response Time Goals
NE34458,p. arzberger and t. a. finholt,report on data and collaboratories in the biomedical community workshop
NE34459,weblink,revolutionizing science and engineering through cyberinfrastructure: report of the national science foundation blue-ribbon advisory panel on cyberinfrastructure
NE34453,weblink,mypacs
NE34450,t. keller and d. jones,metadata: the foundation of effective experiment management
NE34457,"i. altintas, c. berkley, e. jaeger, m. jones, b. ludscher, and s. mock",kepler: an extensible system for design and execution of scientific workflows
7983F93A,hamid pirahesh + calisto zuzarte + qi cheng + wenbin ma + linqi liu + kwai wong,WinMagic: subquery elimination using window aggregation
094D4444,fabio patern + alistair sutcliffe + alexander repenning,End-user Development
5A066EE6,oliver g nther,Efficient computation of spatial joins
5C128F14,alfons kemper + stefan seltzsam + martin wimmer + stefan krompass + daniel gmach + technische universitat munchen,Dynamic Load Balancing of Virtualized Database Services Using Hints and Load Forecasting
706015CC,gregory d speegle + xiaojun wang + le gruenwald,A meta-structure for supporting multimedia editing in object-oriented databases
80ADA81C,s r chidamber + chris f kemerer,A metrics suite for object oriented design
NE36835,weblink,university of washington xml repository
7B2FA87D,richard m karp + michael luby,Monte-Carlo algorithms for enumeration and reliability problems
81D76997,hiroaki kato + yoshimasa takahashi,Automated Identification of Three-Dimensional Common Structural Features of Proteins
7FD0FA7F,octavian procopiuc + jeffrey scott vitter + torsten suel + sridhar ramaswamy + lars arge,Scalable Sweeping-Based Spatial Join
7C43A532,michael w blasgen + bradford w wade + bruce lindsay + g r putzolu + w f king + jim gray + thomas g price + raymond lorie + p g sellinger + morton m astrahan + j w mehl + mario schkolnick + donald r slutz + irving l traiger + h r strong + donald d chamberlin + robert a yost,System R: an architectural overview
59073F83,prabhakar raghavan + jon kleinberg + christos h papadimitriou,A Microeconomic View of Data Mining
7B12681A,mark dilman + danny raz,Efficient reactive monitoring
77A0DBE4,tohru motooka + masaru kitsuregawa + hidehiko tanaka,Application of Hash to Data Base Machine and Its Architecture
72E1F2FF,michael rys,Bringing the Internet to your database: using SQL server 2000 and XML to build loosely-coupled systems
7B5D6387,moni naor + kobbi nissim,Communication preserving protocols for secure function evaluation
5CF7BAE5,s de capitani di vimercati + ernesto damiani + supriyo de + pierangela samarati + claudio a ardagna,Towards Privacy-Enhanced Authorization Policies and Languages
77AF1C54,anthony klug,Calculating constraints on relational expression
5DB0E75F,phillip b gibbons + georgos siganos + michalis faloutsos + christos faloutsos + christopher r palmer,The Connectivity and Fault-Tolerance of the Internet Topology
813FF46C,ian f akyildiz + erdal cayirci + weilian su + yogesh sankarasubramaniam,Wireless sensor networks: a survey
